soma_joinid,doi,title,method_headers
119,10.1038/s41598-020-66092-9,Cell Atlas of The Human Fovea and Peripheral Retina,"[""Human tissue"", ""Single cell isolation, library preparation and sequencing"", ""Bioinformatics analysis"", ""Immunohistochemistry and fluorescencein situhybridization"", ""Image acquisition and processing"", ""Mapping disease genes""]"
121,10.1016/j.celrep.2023.111994,"Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin","[""RESOURCE AVAILABILITY"", ""EXPERIMENTAL MODEL AND SUBJECT DETAILS"", ""METHOD DETAILS"", ""QUANTIFICATION AND STATISTICAL ANALYSIS""]"
136,10.1038/s41698-023-00488-4,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,"[""Collection of CRC samples"", ""Sample preparation"", ""Histopathological annotations and spot categorization"", ""Grading of CMS signatures"", ""ST data pre-processing"", ""Sample integration, batch correction and dimensionality reduction"", ""Deconvolution of the ST datasets"", ""Consistency of deconvolution results between technical replicates"", ""Enrichment/depletion of cell types in different anatomical regions"", ""Pathway activity"", ""Transcription factor activity"", ""Canonical correlation analysis"", ""Selection of tumor surrounding spots"", ""Pseudo-bulk generation"", ""Definition of different anatomical regions in tumor annotated spots"", ""Clustering and enhanced gene expression at the sub spot level"", ""Differential gene expression analysis"", ""Gene set overrepresentation analysis"", ""Ligand modulation of TF activity"", ""Prediction of ligand-receptor interactions"", ""Inference of signaling networks"", ""Metagenes/module scores"", ""Prediction of microsatellite status"", ""Reporting summary""]"
159,10.1038/s41586-020-2797-4,Cells of the adult human heart,"[""Data reporting"", ""Research ethics for donor tissues"", ""Tissue acquisition and processing"", ""Single nuclei isolation"", ""Single-cell preparation"", ""CD45+cell enrichment"", ""Chromium 10X library preparation"", ""Spatial validation using smFISH with RNAscope probes"", ""Haematoxylin and eosin staining"", ""Acquisition of skeletal muscle tissue"", ""Nuclei isolation for skeletal muscle"", ""Single-cell isolation for skeletal muscle"", ""Transcriptome mapping"", ""Count data processing"", ""Doublet detection"", ""Cell quality control and filtering"", ""Batch alignment using deep variational autoencoder"", ""DEGs"", ""Cell–cell interactions"", ""Visualization of gene expression on 10X Genomics Visium data"", ""Estimation of RNA velocity"", ""Subpopulation analyses of atrial and ventricular cardiomyocytes, FBs and neuronal cells"", ""Cross-tissue comparison of cardiac immune populations with skeletal muscle, kidney and blood immune populations"", ""Gene Ontology enrichment analysis"", ""Gene set score"", ""Statistics and reproducibility"", ""GWAS enrichment analysis"", ""Distributions of dispersed cells and isolated nuclei"", ""Further analysis of vascular cells"", ""Skeletal muscle characterization"", ""Cardiac immune cells"", ""Reporting summary""]"
175,10.1016/j.isci.2021.103115,An interactive single cell web portal identifies gene and cell networks in COVID-19 host responses,"[""Key resources table"", ""Resource availability"", ""Method details"", ""Quantification and statistical\nanalysis""]"
188,10.1038/s41586-023-05869-0,Spatial multiomics map of trophoblast development in early pregnancy,"[""Human samples"", ""Tissue cryopreservation"", ""Single-nuclei extraction"", ""Single-cell isolation from tissue"", ""Trophoblast in vitro cultures"", ""H&E staining and imaging"", ""Multiplexed smFISH and high-resolution imaging"", ""Image stitching"", ""10x Genomics Chromium GEX library preparation and sequencing"", ""10x Genomics Visium library preparation and sequencing"", ""Alignment and quantification of scRNA-seq and snRNA-seq data"", ""Alignment and quantification of multiome data"", ""Downstream scRNA-seq and snRNA-seq analysis"", ""Differential gene expression analysis"", ""Alignment, quantification and quality control of multiome ATAC data"", ""Alignment, quantification and quality control of Visium data"", ""Downstream analysis of 10X Genomics Visium data"", ""Downstream snATAC-seq analysis"", ""Join inference of trophoblast invasion from gene expression and spatial data"", ""Combined RNA and ATAC analysis using MEFISTO"", ""Trophoblast trajectory inference analysis"", ""Cell label transferring on trophoblast organoids"", ""Cell–cell communication analysis with CellPhoneDB"", ""Transcription factor analysis"", ""Reporting summary""]"
194,10.1038/s41586-024-07251-0,Immune microniches shape intestinal Tregfunction,"[""Mice"", ""Flow cytometry"", ""Immunofluorescence staining"", ""Isolation of lymphocytes from spleen, lymph node and intestinal tissue"", ""Hhculture and oral gavage"", ""Lymph node lymphocyte egress blocking experiment"", ""Sorting and adoptive transfer of naive TCRHhT cells"", ""In vitro co-culture"", ""Two-photon microscopy"", ""Image analysis"", ""Photo-activation"", ""Single-cell RNA library construction and sequencing"", ""scRNA-seq analysis"", ""Fresh frozen Visium sample preparation"", ""Visium spatial transcriptomics data analysis"", ""Statistical analysis"", ""Reporting summary""]"
198,10.1016/j.cell.2020.12.016,Spatiotemporal analysis of human intestinal development at single-cell resolution,"[""Key Resources Table"", ""Resource availability"", ""Experimental models and subject details"", ""Method details"", ""Quantification and statistical analysis"", ""Additional resources""]"
255,10.1186/s40478-023-01568-z,"Brain matters: unveiling the distinct contributions of region, age, and sex to glia diversity and CNS function","[""Experimental design"", ""Human donor tissue"", ""Luxol-fast-blue staining with cresyl violet counter stain (LFB-CV)"", ""Bulk RNA extraction and RNA integrity (RIN)—value measurement"", ""Nuclei isolation"", ""10X loading and library preparation"", ""Next generation sequencing"", ""Genome alignment and raw matrix generation"", ""Data quality control"", ""Normalization"", ""Dimensional reduction and clustering"", ""Cell type annotation and analysis of subsetted cell lineage datasets"", ""Differential gene expression analysis"", ""Compositional analysis"", ""Label transfer and integration with other datasets"", ""Trajectory analysis"", ""Gene ontology"", ""Environment and code availability"", ""Immunofluorescence"", ""BaseScope duplex"", ""RNA scope"", ""Imaging and analysis of imaging data"", ""Data and materials availability""]"
272,10.1038/s41593-024-01774-5,Integrated multimodal cell atlas of Alzheimer’s disease,"[""SEA-AD cohort selection"", ""Single and duplex IHC for quantitative neuropathology"", ""Creation of the CPS"", ""Tissue processing for single-nucleus isolations"", ""Isolation of RNA and determination of RIN from frozen human brain tissue"", ""10X genomics sample processing"", ""10X sequencing and preprocessing"", ""Comparing the peak universes of severely affected donors to other high pathology donors"", ""Spatial transcriptomics data collection"", ""Compositional analysis of supertypes"", ""Identifying differential electrophysiological features in vulnerable neurons from patch-seq data"", ""Statistics, data visualization and reproducibility"", ""Reporting summary""]"
282,10.1016/j.isci.2024.111628,Exploring the utility of snRNA-seq in profiling human bladder tissue: A comprehensive comparison with scRNA-seq,"[""Key resources table"", ""Experiment model and study participant details"", ""Method details"", ""Quantification and statistical analysis""]"
283,10.1016/j.cell.2021.04.028,Charting human development using a multi-endodermal organ atlas and organoid models,"[""Key resources table"", ""Resource availability"", ""Experimental model and subject details"", ""Method details"", ""Quantification and statistical analysis""]"
288,10.1038/s41588-022-01243-4,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,"[""Experimental methods"", ""Computational analysis"", ""Reporting summary""]"
294,10.1186/s40478-024-01853-5,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling: a case study,"[""Human postmortem tissue"", ""Long-read sequencing"", ""Immunohistochemistry"", ""BaseScope in situ hybridization"", ""Western blot"", ""Single-nucleus isolation from postmortem fresh frozen brain tissue"", ""Glia enrichment by fluorescence-activated nuclei sorting (FANS)"", ""snRNAseq of postmortem human brain nuclei"", ""Preprocessing, quality control, and integration of snRNAseq data"", ""Major cell type, neuronal subtype, and glial cell state annotations"", ""Differential gene expression and enrichment analysis"", ""Trajectory analysis""]"
302,10.1038/s41598-022-17832-6,Smoking modulates different secretory subpopulations expressing SARS-CoV-2 entry genes in the nasal and bronchial airways,"[""Datasets with gene expressions profiled by bulk RNA-sequencing or microarray"", ""Datasets with gene expressions profiled by single-cell RNA-sequencing."", ""Derivation of consensus gene modules and their pathway enrichment."", ""Correlations between VE gene/gene modules and the clinical variables"", ""Single-cell analysis of nasal and bronchial samples"", ""Deconvolution of bulk RNA-seq gene expression"", ""Ethics approval""]"
307,10.1073/pnas.2103240118,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","[""Sample Cohort Description."", ""Preparation of Single-Cell Suspension."", ""Single-Cell 3′ mRNA Sequencing Library Preparation."", ""Whole-Exome Capture Genome Sequencing (WES) and Whole-Transcriptome RNA Sequencing (WXS).""]"
308,10.1016/j.cels.2016.09.002,A Single-Cell Transcriptome Atlas of the Human Pancreas,"[""Key Resources Table"", ""Contact for Reagent and Resource Sharing"", ""Experimental Model and Subject Details"", ""Method Details"", ""Quantification and Statistical Analysis"", ""Data and Software Availability""]"
330,10.1038/s41586-019-0903-2,Altered human oligodendrocyte heterogeneity in multiple sclerosis,"[""Human Donor tissue"", ""Isolation of Nuclei"", ""Single nuclei preparation for 10x loading"", ""cDNA library preparation"", ""MS patients and Control samples preprocessing and clustering"", ""Oligodendrocyte cell type assignment"", ""Comparison of human and mouse oligodendroglia"", ""Integration of different human single nuclear-RNAseq datasets"", ""Dataset integration"", ""Clustering based on PCA"", ""Spatial gene-filtering and pseudo-ordering"", ""Differential expression analysis between MS Lesions and Control"", ""Gene ontology analysis"", ""Immunohistochemistry"", ""BaseScope mRNA detection"", ""Image analysis"", ""Western Blot"", ""Statistics""]"
334,10.3389/fimmu.2023.1211505,Inflammation-mediated fibroblast activation and immune dysregulation in collagen VII-deficient skin,"[""Mice"", ""Cell lines and culture"", ""Flow cytometry analysis"", ""Cytokine quantitation"", ""Immunohistochemical analysis"", ""Mouse paw skin single-cell isolation, library preparation, and scRNAseq"", ""Ingenuity pathway analysis"", ""Statistical analysis""]"
343,10.3390/genes15030298,Single-Cell Transcriptomic Profiling Identifies Molecular Phenotypes of Newborn Human Lung Cells,"[""2.1. Study Population"", ""2.2. Single-Cell Suspension Preparation"", ""2.3. Human Single-Cell Sequencing"", ""2.4. Mouse Single-Cell Sequencing"", ""2.5. Integrating Human and Mouse Data"", ""2.6. Flow Cytometry"", ""2.7. Estimation of Maturation State of Human Cells (In Terms of Murine Maturity)"", ""2.8. In Situ Hybridization and Immunostaining"", ""2.9. Statistics""]"
349,10.1038/s41586-023-06311-1,Spatially resolved multiomics of human cardiac niches,"[""Research ethics for donor tissues"", ""Tissue acquisition and processing"", ""Preparation of node samples"", ""Single nuclei isolation"", ""Chromium 10x library preparation"", ""Visium slides and library preparation"", ""Read mapping"", ""Quality control and processing of data"", ""Data integration and cell-type annotation"", ""Spatial mapping of cell states with cell2location"", ""Cell state spatial enrichment analysis"", ""Cellular microenvironment discovery"", ""CellPhoneDB neural–GPCR expansion module"", ""Spatially resolved cell–cell interaction analysis"", ""Ion channel and GPCR profile"", ""Mouse DEG analysis"", ""Identification of ligands in Visium data"", ""Gene regulatory network"", ""GWAS SNP enrichment analysis"", ""Drug2cell"", ""In vitro validation of chronotropic effects of GLP-1"", ""smFISH"", ""RNAscope quantification"", ""Immunofluorescence staining of tissues"", ""Reporting summary""]"
360,10.1073/pnas.1914143116,Single-cell transcriptomics of the human retinal pigment epithelium and choroid in health and macular degeneration,"[""Human Donor Eyes."", ""Single-Cell RNA-Sequencing Experiment 1: Unenriched RPE and Choroid."", ""Single-Cell RNA-Sequencing Experiment 2: Preenrichment for CD31+Endothelial Cells."", ""Data Availability Statement.""]"
371,10.1038/s41467-019-12780-8,Single-cell transcriptomic atlas of the human retina identifies cell types associated with age-related macular degeneration,"[""Human tissues"", ""Retinal dissection and dissociation"", ""Droplet-based microfluids scRNA-seq"", ""Seq-Well scRNA-seq"", ""Data preprocessing"", ""Cell state characterization"", ""Cell annotation and doublet prediction"", ""Identification of top differentially expressed genes"", ""Dissecting heterogeneity of macroglial cells"", ""Cell-type-specific enrichment of AMD-associated genes"", ""In situ hybridization"", ""Reporting summary""]"
381,10.1038/s43587-023-00552-5,A single-cell atlas of the aging mouse ovary,"[""Animals and tissue collection and dissociation for scRNA-seq"", ""scRNA-seq library construction"", ""scRNA-seq quality control and data analysis"", ""Histology"", ""Immunofluorescence"", ""Flow cytometry"", ""Statistics and reproducibility"", ""Reporting summary""]"
386,10.1084/jem.20191130,Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,"[""Human intestine tissue collection and ethics statement"", ""cDNA library construction and single-cell RNA-seq"", ""Process and quality control of the single-cell RNA-seq data"", ""Data normalization and batch correction"", ""Unsupervised clustering analysis"", ""Differential gene expression analysis"", ""Cell cycle analysis"", ""Comparison between human and mouse ileum cells"", ""Immunofluorescence and immunohistochemistry"", ""Animals and mouse intestine sections"", ""Antibodies"", ""Single-molecule in situ hybridization (smFISH)"", ""Quantitative RT-PCR"", ""Human intestinal organoid culture"", ""Nutrient uptake assay"", ""Statistical analysis"", ""Data availability"", ""Code availability"", ""Online supplemental material""]"
399,10.1038/s41586-024-07069-w,A single-cell time-lapse of mouse prenatal development from gastrula to birth,"[""Data reporting"", ""Mouse embryo collection and staging"", ""Collection of mouse pups immediately after birth"", ""Generating data using an optimized version of sci-RNA-seq3"", ""Processing of sci-RNA-seq3 sequencing reads"", ""Doublet removal"", ""Cell clustering and cell-type annotations"", ""Whole-mouse embryo analysis"", ""Quantitatively estimating cell number for individual mouse embryo at any stage during organogenesis"", ""Characterizing transcriptional heterogeneity in the posterior embryo"", ""Spatial mapping with Tangram"", ""Generating a cell-type tree for mouse development"", ""Nominating key transcription factors and genes"", ""Identifying cell types with abrupt transcriptional changes before versus after birth"", ""Reporting summary""]"
402,10.1126/sciadv.adm7506,Cellular atlas of the human ovary using morphologically guided spatial transcriptomics and single-cell sequencing,"[""Ethical approval process for cadaveric samples"", ""Ovarian donor tissue processing"", ""GeoMx ST experiments"", ""scRNA-seq experiments using 10X Chromium""]"
407,10.1038/s41590-023-01504-2,Conserved transcriptional connectivity of regulatory T cells in the tumor microenvironment informs new combination cancer therapy strategies,"[""Experimental model and mouse details"", ""Expression heat maps"", ""Spatial transcriptomics"", ""Differential expression of tumor areas"", ""Statistics"", ""Reporting summary""]"
417,10.1038/s41467-018-06318-7,Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations,"[""Human liver tissue dissociation"", ""10x sample processing and cDNA library preparation"", ""Sequencing"", ""Cell clustering, differential expression, and pathway analysis"", ""Human/mouse correlation analysis"", ""Flow cytometry/intracellular cytokine staining"", ""Immunohistochemistry and immunofluorescence"", ""Statistical analysis"", ""Code availability""]"
428,10.1111/cpr.13557,High‐resolution single‐cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,"[""Human heart samples"", ""Human cardiomyocyte‐enriched digestion"", ""Single‐cellRNA‐seq library preparation and sequencing"", ""Immunofluorescence staining"", ""Processing of single‐cellRNA‐seq data"", ""Quality control of single‐cellRNA‐seq data"", ""Cell clustering and batch correction"", ""Differential expression analysis"", ""Enrichment analysis andGSEAanalysis"", ""Single‐cell regulatory network inference and clustering (SCENIC) analysis"", ""Gene module score analysis"", ""Analysis of co‐expression gene module"", ""Ligand‐receptoranalysis""]"
451,10.1038/s41467-021-23949-5,Single cell derived mRNA signals across human kidney tumors,"[""Ethics statement"", ""Tissue processing and data generation"", ""Basic data processing and quality control"", ""Analysis of processed data"", ""Method to quantify single cell-derived signals in bulk transcriptomes"", ""Reporting summary""]"
471,10.1016/j.molmet.2022.101595,A transcriptional cross species map of pancreatic islet cells,"[""Cell sources"", ""Single-cell suspension"", ""Single-cell sequencing"", ""Preprocessing and quality control of scRNA-seq data"", ""Single cell manifolds, clustering and annotation"", ""Gene orthologue mapping"", ""Marker gene detection and comparison"", ""Correlation based-gene sets of human α- and β-cells"", ""Similarity of gene expression patterns"", ""Pathway and transcription factor sources and pathway enrichment"", ""Gene set activation and cell scores"", ""Characterization of T1D β-cells"", ""Characterization of fetal human precursor α- and β-cells"", ""Inference of β-cell dynamics using RNA velocity"", ""Cross-species mapping of α- and β-cell states"", ""Mapping of Patch-Seq data to α- and β-cell states"", ""Mapping of 9 publicly available datasets to β-cell states"", ""Data and code availability""]"
486,10.1038/s41593-022-01183-6,CD8+T cells induce interferon-responsive oligodendrocytes and microglia in white matter aging,"[""Animals"", ""Mice perfusion and cell isolation for Smart-seq2"", ""Library preparation for Smart-seq2"", ""Processing, quality control and analyses of Smart-seq2 scRNA-seq data"", ""Mice perfusion and cell isolation for 10× genomic experiments"", ""Library preparation for 10× genomic experiments"", ""Preprocessing and analyses of 10× data"", ""Immunohistochemistry"", ""Correlated light and electron microscopy"", ""Subregional localization analysis"", ""RNAscope in situ hybridization"", ""Cell culture"", ""Stereotactic injection in the corpus callosum"", ""Statistical analysis"", ""Reporting summary""]"
493,10.1073/pnas.2313326120,Multiscale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,"[""Ethics.""]"
494,10.1371/journal.pbio.3000704,Single-cell mapping reveals new markers and functions of lymphatic endothelial cells in lymph nodes,"[""Ethics statement"", ""Isolation of LN LECs"", ""Single-cell sequencing"", ""Data processing, unsupervised clustering, and DE analyses"", ""Analysis and comparison of previously published human LN LEC data"", ""Immunofluorescence staining"", ""RNA fluorescence in situ hybridization"", ""Flow cytometry analysis"", ""Light sheet microscopy"", ""In vivo LDL tracing assay"", ""Adoptive lymphocyte transfer and tracing"", ""Statistical analysis""]"
498,10.1038/s41467-020-19737-2,Single cell RNA sequencing of human microglia uncovers a subset associated with Alzheimer’s disease,"[""Source of human brain specimens"", ""The ROS and MAP cohorts at RADC"", ""Shipping of brain specimens"", ""Microglia isolation and sorting"", ""10x Genomics chromium single-cell 3′ library construction"", ""Batch structure and sequencing"", ""Single-cell RNA-seq data processing and alignment"", ""Batch correction"", ""Clustering using an iterative PCA-Louvain approach"", ""Identification of a cluster-defining gene sets"", ""Constellation diagram"", ""Dot plot representations"", ""Cluster enrichment by sample condition"", ""Comparison to other RNA-seq data sets"", ""Comparison of single-donor clustering to full clustering"", ""Functional annotation of the different microglia subsets"", ""Disease ontology analysis"", ""Association of clusters with ROSMAP traits"", ""Mapping of single-nuclei data to single-cell clusters"", ""Association of clusters with ROSMAP modules"", ""In situ confirmation of microglia subset abundances"", ""Automated image analysis using CellProfiler"", ""Reporting summary""]"
501,10.1038/s41593-022-01061-1,Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson’s disease,"[""Ethics statement"", ""Animal husbandry ofMus musculus"", ""Cryosectioning and brain preparation"", ""Generation of single-nucleus suspensions from frozen human midbrain and caudate samples"", ""Immunolabeling and blocking of human nuclei"", ""FANS for enrichment of dopaminergic nuclei"", ""Generation of single-nucleus suspensions fromM. musculus"", ""Generation of single-nuclei suspensions fromM. fascicularis,Tupaia belangeriandRattus norvegicus"", ""Generation of Slide-seqV2 libraries fromM. fascicularis"", ""snRNA-seq and library preparation"", ""Hybridization chain reaction on tissue sections"", ""Nissl staining and imaging of macaque midbrain sections"", ""Imaging and analysis of single-molecule FISH experiments testing for differential vulnerability of dopaminergic neurons"", ""Imaging and processing for stereotactic localization of dopaminergic neuron subtypes"", ""Preprocessing of snRNA-seq reads"", ""Preprocessing of Slide-seqV2 sequencing reads"", ""Identification of candidate midbrain dopaminergic neuron TFs for enrichment strategy"", ""Cell type clustering and annotation of human datasets"", ""SCENIC analysis to identify differentially regulated regulons"", ""Robust cell type decomposition analysis of Slide-seqV2 data"", ""Integration of dopaminergic neurons across species"", ""Differential abundance assessment of cell types in association with PD and other covariates"", ""Disease enrichment embedding score"", ""Differential expression analysis"", ""Heritability enrichment analyses"", ""Familial PD variant enrichment analysis"", ""GSEA of TF gene sets across dopamine subtypes"", ""Regression analyses"", ""Statistics and reproducibility"", ""Reporting Summary""]"
505,10.1038/s42003-020-0922-4,Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming,"[""Clinical samples"", ""Single-cell RNA sequencing"", ""Data analysis"", ""RNA Fluorescence in situ hybridization (RNA FISH)"", ""Immunohistochemistry (IHC)"", ""Statistics and reproducibility"", ""Reporting summary""]"
513,10.1038/s41467-019-11036-9,Single-cell reconstruction of follicular remodeling in the human adult ovary,"[""Ethical permission and collection of human material"", ""Single-cell dissociation of ovarian tissue"", ""Fluorescence-activated cell sorting (FACS)"", ""RNA-sequencing and primary sequencing analysis"", ""Secondary sequencing analysis"", ""Immunofluorescence"", ""Imaging"", ""C1Q and C3 ELISA on human ovarian tissue"", ""Reporting summary""]"
